n,beta,eta,gamma,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,optimal_delta,best_mse
5,1.0,100.0,1000,1012.7928942922481,1102.0560410245885,1107.0586241869723,1107.4433716357821,1591.1834280011324,,,,,,,,,,,0.5,8827.747276606964
5,1.0,100.0,1000,1029.206112353973,1071.9435872998367,1096.077384704542,1199.761271084003,1248.1476150337733,,,,,,,,,,,0.5,1328.4247776772536
5,1.0,100.0,1000,1008.2256389110702,1029.8811427755618,1122.2297928643793,1148.1298936934043,1211.6215433820955,,,,,,,,,,,0.5,1000.7935408264805
5,1.0,100.0,1000,1004.6610707368202,1052.828590589425,1084.368781450793,1122.4284031442469,1129.0607589102917,,,,,,,,,,,0.5,650.5316462531293
5,1.0,100.0,1000,1009.0109271754159,1034.370100784896,1071.1511765237385,1186.9128216897675,1339.3285629871357,,,,,,,,,,,0.5,899.6415905491069
5,1.0,100.0,1000,1041.7157589885187,1050.9373586284225,1053.0152011778998,1097.0093215637405,1154.214471367318,,,,,,,,,,,0.01,5220.433464913108
5,1.0,100.0,1000,1025.4972308870329,1034.050948287735,1120.6897047882796,1141.577766335205,1173.7952469578904,,,,,,,,,,,0.36,80.80636963614776
5,1.0,100.0,1000,1005.1052017618629,1066.6594934226252,1132.2972490434577,1216.4548072973573,1360.7383685197888,,,,,,,,,,,0.5,17441.307714014445
5,1.0,100.0,1000,1020.0255936730161,1040.7687878651009,1063.520425507023,1079.2873674106322,1108.0885536008773,,,,,,,,,,,0.14,337.4353811063373
5,1.0,100.0,1000,1040.3198092588902,1084.7880628870585,1088.557038614651,1152.099769664519,1230.6737153585343,,,,,,,,,,,0.38,597.3406893405511
5,1.0,100.0,1000,1010.0961620270302,1038.1799521273133,1116.9005160993465,1156.6531786051587,1193.8146717232821,,,,,,,,,,,0.5,1126.9742049905221
5,1.0,100.0,1000,1021.9067764406973,1031.8747091114326,1044.8585684250359,1052.4083100115422,1193.6977224800976,,,,,,,,,,,0.01,3414.41981870529
5,1.0,100.0,1000,1025.8954950116452,1039.1338323229536,1070.6881622131198,1147.9049771124683,1287.9527183569746,,,,,,,,,,,0.01,652.29528851634
5,1.0,100.0,1000,1008.6765186259775,1013.9540848433012,1055.811801499836,1055.9635509339566,1142.7505621870453,,,,,,,,,,,0.01,1498.4528829476876
5,1.0,100.0,1000,1013.2888762380051,1164.5312335903052,1184.598351976898,1242.3701671190477,1331.269862087755,,,,,,,,,,,0.5,24653.028398603594
5,1.0,100.0,1000,1050.3195251588393,1078.1782621792788,1115.6654318584576,1138.480535540851,1140.5124174789025,,,,,,,,,,,0.14,198.57855349297967
5,1.0,100.0,1000,1001.707528328095,1061.3313605671567,1114.7194956226133,1145.8203074987018,1466.5874563140599,,,,,,,,,,,0.5,8949.171165254042
5,1.0,100.0,1000,1028.9418394083589,1039.597716979489,1046.563959050134,1053.5006873034877,1155.0549029017516,,,,,,,,,,,0.01,4551.786345748708
5,1.0,100.0,1000,1029.4352965195483,1041.8197508893484,1058.0453622660862,1076.017326003053,1177.0281959368583,,,,,,,,,,,0.01,2889.9055622944234
5,1.0,100.0,1000,1013.2335646262311,1140.5575899640066,1157.9452967241975,1163.3021218136137,1324.306853073112,,,,,,,,,,,0.5,11836.113740473282
5,1.0,100.0,1000,1010.495967108333,1010.6921242591887,1063.5738274105368,1073.2405551792115,1106.6170960760276,,,,,,,,,,,0.13,687.5821538990162
5,1.0,100.0,1000,1001.0609940503941,1007.358438174042,1088.1662989597835,1088.7729241346176,1269.107304303597,,,,,,,,,,,0.5,53.806655558066396
5,1.0,100.0,1000,1014.072665463539,1039.884698519857,1053.73636453012,1067.413553396234,1129.0089172503763,,,,,,,,,,,0.05,372.8107869405033
5,1.0,100.0,1000,1006.2472448247051,1115.180080404151,1227.7645318840343,1258.132668046499,1319.2896753242867,,,,,,,,,,,0.5,34322.12547836542
5,1.0,100.0,1000,1007.2082120784704,1043.4017381716103,1045.3033312527555,1188.612881655784,1388.825712957062,,,,,,,,,,,0.5,1235.8804929820703
5,1.0,100.0,1000,1032.0666185346336,1072.6453521095011,1097.3954988491084,1146.1582235304536,1217.5738784070898,,,,,,,,,,,0.5,645.1209883568885
5,1.0,100.0,1000,1014.5929663751346,1019.2075608944602,1097.952264467995,1166.6952244903896,1417.2307520221188,,,,,,,,,,,0.5,352.3252334737538
5,1.0,100.0,1000,1033.6841864488479,1042.2127964372023,1078.4542161388636,1078.8049370844965,1179.4159644862468,,,,,,,,,,,0.01,2503.0527270962216
5,1.0,100.0,1000,1018.9663396518083,1034.323717862988,1063.96774000893,1092.1303856734157,1137.9676390125521,,,,,,,,,,,0.01,976.8177615191006
5,1.0,100.0,1000,1002.473667217759,1029.1842753869419,1043.1155270338436,1068.4037875965732,1072.375701884341,,,,,,,,,,,0.22,1061.2794873321818
5,1.0,100.0,1000,1003.7892455881448,1061.9305766482703,1095.9346900796586,1102.33942669203,1194.719966326725,,,,,,,,,,,0.5,2095.981141825933
5,1.0,100.0,1000,1036.7989877692598,1060.5552706604776,1084.4597994556202,1106.816817950716,1106.9337695182985,,,,,,,,,,,0.09,41.346735849037856
5,1.0,100.0,1000,1004.1127272645015,1047.7877338873056,1072.2690694088847,1103.1492158970798,1243.011583263171,,,,,,,,,,,0.5,294.20815388717745
5,1.0,100.0,1000,1004.7734206593693,1053.6207734058723,1075.493838636642,1169.8012093211573,1173.5724463054225,,,,,,,,,,,0.5,1605.5148343619685
5,1.0,100.0,1000,1007.5174300987011,1008.2191307364052,1060.9773786686226,1178.7867864266059,1187.3157886451143,,,,,,,,,,,0.06,37.5768824067584
5,1.0,100.0,1000,1035.1857462026674,1050.7420273565883,1124.4628051790896,1125.6175820374438,1219.594688532268,,,,,,,,,,,0.22,325.10380113501805
5,1.0,100.0,1000,1092.7814676229727,1129.7613901242562,1171.8245725975657,1255.8874866263277,1287.3684783553906,,,,,,,,,,,0.2,6095.881363103727
5,1.0,100.0,1000,1000.9031969666621,1020.2331383362306,1086.6829553895138,1089.058331007086,1179.3575570095354,,,,,,,,,,,0.33,97.87490293363368
5,1.0,100.0,1000,1007.5315119320209,1018.1490356003105,1030.2951509609595,1088.4566631511743,1184.5838231376867,,,,,,,,,,,0.01,1830.15489073123
5,1.0,100.0,1000,1038.0332594777851,1070.9097041384243,1111.520146705862,1152.1703751844298,1199.4720554610271,,,,,,,,,,,0.5,519.9083361627133
5,1.0,100.0,1000,1000.2361725902153,1009.5693783917192,1045.6126819203353,1059.6377181155085,1225.1172094772633,,,,,,,,,,,0.01,1099.2414627734233
5,1.0,100.0,1000,1054.9318387157855,1066.8543222560436,1075.855891836015,1077.460208621266,1084.8090049069272,,,,,,,,,,,0.01,314.8965593499771
5,1.0,100.0,1000,1000.5970581237021,1052.659622754887,1093.469506645689,1206.629448479971,1349.3433961881199,,,,,,,,,,,0.5,9163.103758117824
5,1.0,100.0,1000,1046.5361395693014,1049.619071790573,1066.4211213047015,1098.0669241241053,1154.9674963052348,,,,,,,,,,,0.01,6433.516364685893
5,1.0,100.0,1000,1004.5636053666383,1036.0197281665075,1040.2138814049365,1247.4356889899504,1252.1556388265221,,,,,,,,,,,0.5,795.4783499789277
5,1.0,100.0,1000,1006.0184393544666,1026.8408716786919,1027.2514216449224,1052.975278690588,1117.8058632719108,,,,,,,,,,,0.01,1883.6422999657234
5,1.0,100.0,1000,1002.953538196081,1005.3180548704631,1037.0242563059528,1045.1214264015837,1097.5088770417408,,,,,,,,,,,0.01,2619.1979685542065
5,1.0,100.0,1000,1022.0345843305913,1030.9603794874902,1041.8752436533055,1061.1198407037,1346.0415909095543,,,,,,,,,,,0.01,2463.9749928592123
5,1.0,100.0,1000,1000.3153469545801,1029.1107212768181,1095.23103455261,1115.786552706466,1350.2023129017614,,,,,,,,,,,0.01,1401.446449989642
5,1.0,100.0,1000,1034.8521066925366,1043.5690778755625,1051.0548805103983,1126.6109556416172,1225.7776925957296,,,,,,,,,,,0.01,3174.1122991873417
5,1.0,100.0,1000,1051.0877399216572,1071.529195484646,1084.483757861341,1121.152571573188,1264.0428281670643,,,,,,,,,,,0.01,2605.5214782177945
5,1.0,100.0,1000,1008.9498881590608,1014.3802374425513,1028.675980769395,1125.4395315602146,1127.334576836611,,,,,,,,,,,0.01,2374.8167724359237
5,1.0,100.0,1000,1032.5820856880862,1079.3688994988634,1111.2442568514805,1178.1469821069802,1277.768014994568,,,,,,,,,,,0.5,2961.3010780629493
5,1.0,100.0,1000,1009.7014515310177,1010.1283947988012,1023.0635711288667,1024.715133569003,1071.2301603434382,,,,,,,,,,,0.01,6976.789951633644
5,1.0,100.0,1000,1013.7800084206291,1015.5149442204251,1086.227934070484,1166.277965918346,1207.4154945231232,,,,,,,,,,,0.2,7.258464700800085
5,1.0,100.0,1000,1009.0765819298026,1023.4317113377299,1082.4603677424716,1107.5744520664955,1132.7381691596245,,,,,,,,,,,0.25,119.55515222743946
5,1.0,100.0,1000,1014.9579073487898,1061.6088517915944,1061.618265200368,1072.4778027723116,1170.4286898739501,,,,,,,,,,,0.26,69.34211866263772
5,1.0,100.0,1000,1013.6014280398272,1035.716694264435,1043.816101145828,1059.6009722973665,1351.035937484201,,,,,,,,,,,0.01,457.79077704353153
5,1.0,100.0,1000,1055.519127770218,1157.4927530182551,1187.706073106683,1189.48950314297,1244.074769019176,,,,,,,,,,,0.44,2764.7241785956626
5,1.0,100.0,1000,1002.8253046773575,1032.7534603743,1078.0988312161473,1098.4130416779255,1253.5020732383935,,,,,,,,,,,0.03,175.6877109113943
5,1.0,100.0,1000,1054.0803300974922,1099.643648401258,1117.6313384161558,1162.4348719462423,1260.882903392519,,,,,,,,,,,0.46,1579.5388725959556
5,1.0,100.0,1000,1003.3156858004165,1052.6863296462723,1056.5860515566771,1057.7492958047646,1176.9564451671095,,,,,,,,,,,0.32,207.80954080504955
5,1.0,100.0,1000,1018.6001741394191,1035.6026925939038,1052.6894300493475,1098.2738632227054,1125.1632910156213,,,,,,,,,,,0.01,1172.2004609985474
5,1.0,100.0,1000,1017.5728406227408,1020.6716319733534,1099.8473012922102,1541.8667553798582,1656.2992163429178,,,,,,,,,,,0.01,7566.617631835205
5,1.0,100.0,1000,1007.5400326771327,1070.628617471747,1075.91017282562,1183.7982747712967,1220.6776712387293,,,,,,,,,,,0.5,3857.9286951318527
5,1.0,100.0,1000,1011.0897428496809,1016.8441423676948,1134.0362096988204,1202.4302890858753,1213.3194400336376,,,,,,,,,,,0.5,1384.9258928863894
5,1.0,100.0,1000,1005.6419064927939,1012.3896447029796,1018.6273521991957,1037.5126096093607,1088.4697167011298,,,,,,,,,,,0.01,5031.8579708824955
5,1.0,100.0,1000,1003.828966792409,1081.1788319875382,1082.9324067427608,1141.5339488072827,1225.2413370083736,,,,,,,,,,,0.5,4251.296750377701
5,1.0,100.0,1000,1024.7582359916623,1030.5355517850855,1072.6361629764926,1101.181498740914,1197.9191254116008,,,,,,,,,,,0.01,1370.1917856257494
5,1.0,100.0,1000,1027.7720633034662,1067.2942656522212,1071.3061251060305,1084.0670038679373,1181.058177169082,,,,,,,,,,,0.13,0.4495969646092916
5,1.0,100.0,1000,1150.5556969395998,1174.7105207305503,1174.721801363118,1183.6015449911577,1233.2356699064717,,,,,,,,,,,0.01,14466.926837054409
5,1.0,100.0,1000,1004.3383168282757,1032.439022664913,1047.073439463568,1052.107950692785,1157.0640358945914,,,,,,,,,,,0.01,773.7137602539591
5,1.0,100.0,1000,1030.8754211154983,1037.959376780113,1040.054827680766,1040.7423001430682,1048.0281167079931,,,,,,,,,,,0.01,3742.4476485815367
5,1.0,100.0,1000,1004.2874684007488,1049.2944179880108,1055.0834610963004,1091.4444658646487,1100.692145528655,,,,,,,,,,,0.39,402.74107608326983
5,1.0,100.0,1000,1009.3688053919245,1012.2594488314901,1065.5117167333858,1073.1355793376206,1212.012110583356,,,,,,,,,,,0.01,761.4203667210544
5,1.0,100.0,1000,1014.1064272710239,1109.2481590284874,1128.268909624355,1201.6863637780207,1208.4069279009298,,,,,,,,,,,0.5,6307.976051846319
5,1.0,100.0,1000,1010.8082973560348,1011.4856231994727,1021.0780572328296,1057.0071129534301,1138.432748477903,,,,,,,,,,,0.01,5925.072469196042
5,1.0,100.0,1000,1003.7875893381804,1041.4412268208064,1105.9119827895427,1142.6053139924284,1203.3749081956444,,,,,,,,,,,0.5,3000.1855432753828
5,1.0,100.0,1000,1018.5232802926262,1022.8307164094339,1035.6416619936213,1041.9956941251517,1200.65532980077,,,,,,,,,,,0.01,4744.790182976618
5,1.0,100.0,1000,1097.156575642079,1097.8095819350883,1171.1274320030027,1224.7249387910172,1388.2646890508045,,,,,,,,,,,0.01,7474.297784916348
5,1.0,100.0,1000,1007.3714237331889,1043.3015954674584,1046.4804167433272,1071.1394159788997,1183.3561695926542,,,,,,,,,,,0.09,171.11960125498283
5,1.0,100.0,1000,1005.1032221916189,1054.5737978727736,1068.5405925500547,1176.7609783454045,1180.0525271230931,,,,,,,,,,,0.5,1249.858063732102
5,1.0,100.0,1000,1001.9096856261762,1008.4796006495371,1020.4862618450652,1031.2878396691365,1201.2339466806607,,,,,,,,,,,0.01,3578.9915903547844
5,1.0,100.0,1000,1002.7891278880722,1028.9812447661968,1040.1171892064892,1107.6915969302856,1297.389608427623,,,,,,,,,,,0.45,14.900202893920545
5,1.0,100.0,1000,1015.6339170720871,1030.7858819330877,1041.6600639159365,1082.6336223183694,1119.5106684085085,,,,,,,,,,,0.01,1831.4653863269286
5,1.0,100.0,1000,1038.4566154039053,1045.683127833662,1091.9002102254494,1266.0094374144346,1409.7710711378948,,,,,,,,,,,0.01,1531.2999999908398
5,1.0,100.0,1000,1017.1422245363839,1047.7836498015633,1077.2452609579545,1078.326850146413,1222.0869466423321,,,,,,,,,,,0.01,124.15920423118979
5,1.0,100.0,1000,1003.6425207130025,1012.269862686001,1016.7272522203039,1165.1185569105126,1200.8875035291505,,,,,,,,,,,0.01,1069.7011358127259
5,1.0,100.0,1000,1020.7939918744846,1044.2145952345945,1131.0813522548624,1158.0955523187213,1255.1422607988313,,,,,,,,,,,0.5,921.4150399413836
5,1.0,100.0,1000,1042.8370293622306,1079.501185229775,1157.7328448572405,1207.5707199078397,1249.1654232887522,,,,,,,,,,,0.5,3506.8942199867365
5,1.0,100.0,1000,1005.9085578319733,1024.0912592492593,1030.7814746170966,1043.924080278446,1081.6238561681225,,,,,,,,,,,0.01,1930.0555079632297
5,1.0,100.0,1000,1009.4866487152328,1013.6712315094271,1032.7517696449465,1046.4886345843565,1084.1681423213704,,,,,,,,,,,0.01,4389.599609043952
5,1.0,100.0,1000,1021.9213818203186,1032.286596573338,1046.6930382256694,1126.5106511153006,1441.2344911243283,,,,,,,,,,,0.01,858.0263706126824
5,1.0,100.0,1000,1012.1794256078452,1012.7455096546008,1042.3251243770724,1045.0762257820495,1160.4173459685614,,,,,,,,,,,0.01,3971.2144732335255
5,1.0,100.0,1000,1038.9262082044413,1105.7894444173921,1175.6924809565903,1253.3660246325803,1279.489545702959,,,,,,,,,,,0.5,11257.57572750916
5,1.0,100.0,1000,1018.8274536261797,1082.3717534365571,1105.3355258495528,1136.6639006680325,1203.2635066524158,,,,,,,,,,,0.5,2208.2819089519157
5,1.0,100.0,1000,1023.8584762167576,1071.8099060639383,1071.8500952349036,1132.267180853693,1140.864916394692,,,,,,,,,,,0.39,2.985686005398089
5,1.0,100.0,1000,1004.084596218352,1009.1536487641052,1039.3683567501246,1164.2715061361628,1167.0417086556631,,,,,,,,,,,0.5,780.8015509809806
5,1.0,100.0,1000,1014.970775654716,1035.3717863136558,1043.360489231078,1059.9548310361267,1188.9901255300235,,,,,,,,,,,0.01,1387.1935374744469
5,1.0,100.0,1000,1024.3630230936672,1031.6985455840286,1086.8774213088675,1140.9630677124492,1273.1885463313095,,,,,,,,,,,0.01,383.8117239939231
5,1.0,100.0,1000,1001.5513574040021,1003.5707257333179,1004.14254706663,1029.8620876940754,1069.412387560792,,,,,,,,,,,0.01,7176.721755110545
5,1.0,100.0,1000,1012.1681701512261,1033.748139442799,1034.341332989163,1117.5649661486977,1262.279033793659,,,,,,,,,,,0.01,312.5362865717952
5,1.0,100.0,1000,1023.845847231657,1029.9779270085876,1055.0817893065296,1117.8470521593238,1127.1755743033925,,,,,,,,,,,0.01,2649.438554501286
5,1.0,100.0,1000,1011.9264836713583,1019.2805042540631,1172.3529005521218,1177.2227660768704,1297.784032750063,,,,,,,,,,,0.5,5705.639909186798
5,1.0,100.0,1000,1013.0609278622901,1039.1621447624163,1039.9520956055674,1093.907196437045,1209.4020798418228,,,,,,,,,,,0.01,338.3630174675453
5,1.0,100.0,1000,1055.786038179241,1109.0239164863174,1146.4875874260126,1172.967622418178,1314.880697163346,,,,,,,,,,,0.5,3671.746864733133
5,1.0,100.0,1000,1037.0989534396565,1039.2508790501133,1064.9595861058185,1069.336709387825,1097.510656897295,,,,,,,,,,,0.01,1360.7829733304789
5,1.0,100.0,1000,1014.5346015628472,1081.5161230348406,1105.916957896297,1164.8925180260446,1198.0154317440374,,,,,,,,,,,0.5,3753.134776894738
5,1.0,100.0,1000,1015.9067703917062,1038.4808798739377,1049.0020907376404,1060.751123558803,1089.6813919785043,,,,,,,,,,,0.08,779.4008512788706
5,1.0,100.0,1000,1001.6042340874545,1006.6486406294069,1045.8653545382622,1051.237333119753,1181.1207784947173,,,,,,,,,,,0.01,1840.540104853167
5,1.0,100.0,1000,1017.4883692849847,1054.5729325036891,1062.3608378497072,1102.791909369446,1225.1899878513962,,,,,,,,,,,0.11,8.237206986148637
5,1.0,100.0,1000,1030.5808609850928,1053.633246319527,1077.9091451883291,1123.6215154251256,1169.7730164649552,,,,,,,,,,,0.01,27.981572695012733
5,1.0,100.0,1000,1088.84324478333,1107.6260840053228,1125.3728690853409,1128.1248171479497,1191.7067234370556,,,,,,,,,,,0.01,7809.163182568364
5,1.0,100.0,1000,1008.3197677437424,1017.4207125267826,1025.436986736288,1161.391595074538,1189.0897041598716,,,,,,,,,,,0.01,1098.2265582227478
5,1.0,100.0,1000,1034.3330983845772,1043.9892798037208,1049.9286913241517,1053.9687386516732,1230.6033047354767,,,,,,,,,,,0.01,4620.848666299465
5,1.0,100.0,1000,1009.948700216712,1019.1873679165166,1027.889063402147,1106.0419466757735,1271.2971481700074,,,,,,,,,,,0.01,1517.0473474738417
5,1.0,100.0,1000,1004.6985530183013,1004.8455210600354,1016.1686789885632,1018.7860372089018,1110.9960893212851,,,,,,,,,,,0.01,6996.166023498535
5,1.0,100.0,1000,1037.5585079052137,1043.9931895536622,1064.1091156160214,1086.6155210683485,1149.1658427622674,,,,,,,,,,,0.01,4536.945162180787
5,1.0,100.0,1000,1034.7076533386733,1085.4224368591051,1090.448908879078,1093.1675849736848,1150.772848175494,,,,,,,,,,,0.24,7.661502098368053
5,1.0,100.0,1000,1006.8058377325223,1046.5304972400238,1058.6423240053098,1115.0506457638899,1288.1866322072242,,,,,,,,,,,0.04,204.22924785083256
5,1.0,100.0,1000,1013.6071701268592,1013.818293302445,1055.5809913824028,1063.6726031237924,1069.6892654978474,,,,,,,,,,,0.07,1159.0640611830906
5,1.0,100.0,1000,1003.294188306187,1029.2318254740878,1030.2311391986789,1061.782670474455,1076.0955102439436,,,,,,,,,,,0.13,1255.7468699225979
5,1.0,100.0,1000,1015.1955400440789,1020.9759073966673,1031.3626510063398,1068.782541546237,1096.2798204253568,,,,,,,,,,,0.01,4516.584822914615
5,1.0,100.0,1000,1022.9677818348916,1050.729611984326,1129.9226035946506,1184.250636183392,1265.6947036185006,,,,,,,,,,,0.5,1750.7406126867397
5,1.0,100.0,1000,1001.8797697884498,1011.4393017052748,1031.3675061654478,1047.8242301595567,1048.1611246579957,,,,,,,,,,,0.03,2045.4015868093434
5,1.0,100.0,1000,1006.479150016586,1040.7526929949083,1058.2412233717714,1152.4299704426655,1181.9009248396178,,,,,,,,,,,0.3,39.10462575981437
5,1.0,100.0,1000,1016.0200185287446,1074.2879561293953,1084.6660592372066,1094.9510132082496,1123.152544889226,,,,,,,,,,,0.35,63.38011506975411
5,1.0,100.0,1000,1008.4571134756782,1008.5078916057251,1022.6093329964615,1039.170662808539,1063.082043464734,,,,,,,,,,,0.01,5720.091633559539
5,1.0,100.0,1000,1019.0117751332607,1029.788900297473,1034.9380390868962,1110.833103539579,1204.528422347279,,,,,,,,,,,0.01,2110.2119368802005
5,1.0,100.0,1000,1005.2661591544058,1028.2988393297064,1048.4843622171913,1067.5852218520813,1213.9629438790323,,,,,,,,,,,0.01,347.6625242247683
5,1.0,100.0,1000,1002.8515400866863,1011.7825095311838,1016.7799019987533,1022.6917264859993,1046.9700365016317,,,,,,,,,,,0.01,5201.280913911911
5,1.0,100.0,1000,1050.4451738067262,1099.1543493613826,1139.7341469286926,1148.40999318579,1154.7456079176857,,,,,,,,,,,0.32,602.7193472590316
5,1.0,100.0,1000,1017.409374313427,1085.2475073814098,1116.0893953726338,1165.4060854060056,1171.7520903228124,,,,,,,,,,,0.5,2321.609538589565
5,1.0,100.0,1000,1016.9423408459141,1035.056101053438,1076.0050408864527,1079.1411854277578,1171.3439560511274,,,,,,,,,,,0.01,508.2920547778864
5,1.0,100.0,1000,1008.2756431833312,1046.4427141884803,1086.032833633453,1118.1215699430854,1315.9569169681185,,,,,,,,,,,0.1,716.506090303161
5,1.0,100.0,1000,1017.5485028155813,1019.5958549516336,1063.3352331508563,1111.3848020318633,1145.9268355196484,,,,,,,,,,,0.04,167.94690825271343
5,1.0,100.0,1000,1032.048393097129,1049.2695084452503,1080.8380019546485,1220.7460164051522,1297.3402834193066,,,,,,,,,,,0.01,869.1291418806424
5,1.0,100.0,1000,1009.265648806281,1018.9368531501789,1029.1651912114767,1224.0121233417751,1494.254480554785,,,,,,,,,,,0.01,71.24772963217873
5,1.0,100.0,1000,1008.394417274208,1019.5750851053357,1034.0886855750935,1152.7374750174713,1220.9411611733972,,,,,,,,,,,0.01,627.8494577908633
5,1.0,100.0,1000,1027.977890193193,1030.473110494921,1042.142349268586,1116.9670247119682,1145.7461056531827,,,,,,,,,,,0.01,4609.104819277319
5,1.0,100.0,1000,1007.7283232748388,1050.4600612878244,1198.8134172798702,1244.5481929450923,1383.9514201637996,,,,,,,,,,,0.5,20936.28043471249
5,1.0,100.0,1000,1018.8009018589582,1033.7294435793833,1048.3725524897318,1060.1532139256503,1247.0135821631554,,,,,,,,,,,0.01,1720.7750015790807
5,1.0,100.0,1000,1006.9592824004625,1014.5108266425835,1027.5741201561152,1046.230301472901,1134.7394696254862,,,,,,,,,,,0.01,3708.3875305571987
5,1.0,100.0,1000,1021.7678684360801,1035.8933972985676,1084.1871799843573,1128.589515846041,1444.5052014267606,,,,,,,,,,,0.5,405.58399212657645
5,1.0,100.0,1000,1043.262151822304,1083.1106973177073,1160.4533028095282,1204.2008728945102,1380.8702188790282,,,,,,,,,,,0.5,6016.963083270431
5,1.0,100.0,1000,1014.9207525592458,1035.3845519948532,1072.7212730391868,1130.8779357285318,1491.6764550983467,,,,,,,,,,,0.5,497.21431809678484
5,1.0,100.0,1000,1020.9377206472836,1076.3047844292278,1184.7912196479342,1200.3352171781205,1255.781306539969,,,,,,,,,,,0.5,9603.882418549692
5,1.0,100.0,1000,1063.2084010670176,1063.7836108822046,1086.0618586925686,1145.469235002544,1153.7593562800082,,,,,,,,,,,0.01,6294.739474599749
5,1.0,100.0,1000,1020.0652458757479,1021.9239526499312,1104.8185877080539,1213.9299028733126,1305.7113765551087,,,,,,,,,,,0.5,543.2098300118922
5,1.0,100.0,1000,1015.3817557365043,1018.8389836418797,1026.8067385855807,1070.0555529642982,1099.938808915439,,,,,,,,,,,0.01,5284.864553499017
5,1.0,100.0,1000,1003.1099017818636,1008.2607790305949,1080.2586236876891,1101.4568151056121,1135.0362104074773,,,,,,,,,,,0.3,287.780236628602
